Sanatçı Adı,Şarkı Id,Şarkı Adı,Şarkı Sözü,Satır No
Duman,10,Bu Aşk Beni Yorar,End Ezoic - 300x250 - mid_content,11
Duman,10,Bu Aşk Beni Yorar,"sayfalar, o sayfalar",12
Duman,10,Bu Aşk Beni Yorar,"kapanmazlar, silinmezler",13
Duman,10,Bu Aşk Beni Yorar,her an içimi parçalar,14
Duman,10,Bu Aşk Beni Yorar,"okunmazlar, yakışmaz",15
Duman,10,Bu Aşk Beni Yorar,"ellerimde kan, dilimden akar",16
Duman,10,Bu Aşk Beni Yorar,"kime ne, banane",17
Duman,10,Bu Aşk Beni Yorar,bu aşk beni yorar,18
Duman,10,Bu Aşk Beni Yorar,"ellerimde kan, dilimden akar",19
Duman,10,Bu Aşk Beni Yorar,"kime ne, banane",20
Duman,11,Çile Bülbülüm,bülbülüm gel de dile,1
Duman,11,Çile Bülbülüm,söyle benimle bile,2
Duman,11,Çile Bülbülüm,sesini duyur ele,3
Duman,11,Çile Bülbülüm,çile bülbülüm çile allah,4
Duman,11,Çile Bülbülüm,issiz yuvanda tektin,5
Duman,11,Çile Bülbülüm,çekilmez çile çektin,6
Duman,11,Çile Bülbülüm,kim derdi gülecektin,7
Duman,11,Çile Bülbülüm,çile bülbülüm çile allah,8
Duman,11,Çile Bülbülüm,müjde ey güzel kusum,9
Duman,11,Çile Bülbülüm,bahara erdi kisim,10
Duman,11,Çile Bülbülüm,gülüyor içim disim,11
Duman,11,Çile Bülbülüm,çile bülbülüm çile allah,12
Duman,12,Dağlar Bağlar,günleri ayları yılları saydık,1
Duman,12,Dağlar Bağlar,biz kavuşamadık aman,2
Duman,12,Dağlar Bağlar,koçları kuzuları tarlayı sattık,3
Duman,12,Dağlar Bağlar,başlık parası aman,4
Duman,12,Dağlar Bağlar,babasıda vermez,5
Duman,12,Dağlar Bağlar,kapıya dayandım vay,6
Duman,12,Dağlar Bağlar,kaçıramadım da,7
Duman,12,Dağlar Bağlar,kızına da yandım vay,8
Duman,12,Dağlar Bağlar,dağlarda bağlarda ben seni gördüm oralarda,9
Duman,13,Deli,Sevdim beni sevemediler,1
Duman,13,Deli,Aşktan yana olamadılar,2
Duman,13,Deli,Gördün bana eremediler,3
Duman,13,Deli,Erdin sana deli dediler,4
Duman,13,Deli,Çaldığım sazı duyamadılar,5
Duman,13,Deli,Aşkın sesi diyemediler,6
Duman,13,Deli,Gördün beni bulamadılar,7
Duman,13,Deli,Buldun sana deli dediler,8
Duman,13,Deli,End Ezoic - 300x250 - mid_content,9
Duman,13,Deli,Ellerim elinde gerisi yalan gerisi yalan,10
Duman,13,Deli,Sevdim beni sevemediler,11
Duman,13,Deli,Aşktan yana olamadılar,12
Duman,13,Deli,Gördün bana eremediler,13
Duman,13,Deli,Erdin sana deli dediler,14
Duman,13,Deli,Yazdığım sözü okumadılar,15
Duman,13,Deli,Aşkın dili kavrayamadılar,16
Duman,13,Deli,Gördün benim olamadılar,17
Duman,14,Dibine Kadar,Yazdım çizdim hayal ettim,1
Duman,14,Dibine Kadar,Sazla sözden ibarettim,2
Duman,14,Dibine Kadar,Arkamı döndüm emanet ettim,3
Duman,14,Dibine Kadar,Anlayamadın ya,4
Duman,14,Dibine Kadar,Aklım fikrim kaynayınca,5
Duman,14,Dibine Kadar,Söz müzikle ağlayınca,6
Duman,14,Dibine Kadar,Kalbimi açtım ibadet ettim,7
Duman,14,Dibine Kadar,Anlayamadın ya,8
Duman,14,Dibine Kadar,Ama o anladı,9
Duman,14,Dibine Kadar,End Ezoic - 300x250 - mid_content,10
Duman,14,Dibine Kadar,Güldüm geçtim genceciktim,11
Duman,14,Dibine Kadar,Aşk içinde meşke daldım,12
Duman,14,Dibine Kadar,Kendimi buldum onu kaybettim,13
Duman,14,Dibine Kadar,Anlayamadın ya,14
Duman,14,Dibine Kadar,İyisin hoşsun bir yokuşsun,15
Duman,14,Dibine Kadar,Harbiden bayağı bir boşsun,16
Duman,14,Dibine Kadar,Şarkıya türküye lanet olsun,17
Duman,14,Dibine Kadar,Anlayamadın ya,18
Duman,15,Dön Ne Olur,Sen gittin gözüm arkada kaldı,1
Duman,15,Dön Ne Olur,Canım sıkıldı çabuk gel,2
Duman,15,Dön Ne Olur,Tadım kalmadı hemen gel,3
Duman,15,Dön Ne Olur,Bir kaç gün içinde dön ne olur,4
Duman,15,Dön Ne Olur,Bıraktığın gibi burdayım,5
Duman,15,Dön Ne Olur,Yalnız değilsin yanındayım,6
Duman,15,Dön Ne Olur,Tut elimi tut yanındayım,7
Duman,15,Dön Ne Olur,Yalnız değilsin yanındayım,8
Duman,16,Dönek,Biz sonradan doğduk,1
Duman,16,Dönek,Okuduk dinledik,2
Duman,16,Dönek,İmrendik abarttık,3
Duman,16,Dönek,Sonunda uyandık davaya,4
Duman,16,Dönek,Siz o gün doğdunuz,5
Duman,16,Dönek,Yakıp yıktınız,6
Duman,16,Dönek,Kaç yıl geçti bak,7
Duman,16,Dönek,Sonunda döndünüz davadan,8
Duman,16,Dönek,Hakim bey itirazım var,9
Duman,16,Dönek,End Ezoic - 300x250 - mid_content,10
Duman,16,Dönek,Kayıp gençlik deyip geçme,11
Duman,16,Dönek,Bak hiç olmazsa biz dönek değiliz,12
Duman,16,Dönek,Biz sonradan doğduk,13
Duman,16,Dönek,Batının koynunda,14
Duman,16,Dönek,Alıştık sormadık,15
Duman,16,Dönek,Sürüyle yol aldık sessizce,16
Duman,16,Dönek,Siz o gün doğdunuz,17
Duman,16,Dönek,Votkayla coştunuz,18
Duman,16,Dönek,Sarhoşluk geçince,19
Duman,17,Elimde Ki Saz Yeter Canıma,cebim delik basim acik,1
Duman,17,Elimde Ki Saz Yeter Canıma,icim ferah sazim yanik,2
Duman,17,Elimde Ki Saz Yeter Canıma,en guzeli senin olsun,3
Duman,17,Elimde Ki Saz Yeter Canıma,en yucesi sana kalsin,4
Duman,17,Elimde Ki Saz Yeter Canıma,ask olsun gozun doysun,5
Duman,17,Elimde Ki Saz Yeter Canıma,haykirmak icin kudretim senin olsun,6
Duman,17,Elimde Ki Saz Yeter Canıma,kudurmak icin sohretinde olsun,7
Duman,17,Elimde Ki Saz Yeter Canıma,saldirmak icin servetim senin olsun,8
Duman,17,Elimde Ki Saz Yeter Canıma,yalvarmak icin allahim senin olsun,9
Duman,17,Elimde Ki Saz Yeter Canıma,benim icimdeki ask,10
Duman,17,Elimde Ki Saz Yeter Canıma,elimde ki saz elimde ki saz,11
Duman,17,Elimde Ki Saz Yeter Canıma,icimde ki ask icimde ki ask,12
Duman,17,Elimde Ki Saz Yeter Canıma,elimde ki saz elimde ki saz,13
Duman,18,Elimdeki  Saz,"Cebim delik, başım açık",1
Duman,18,Elimdeki  Saz,"İçim ferah, sazım yanık",2
Duman,18,Elimdeki  Saz,En güzeli senin olsun,3
Duman,18,Elimdeki  Saz,En yücesi sana kalsın,4
Duman,18,Elimdeki  Saz,Aşk olsun gözün doysun,5
Duman,18,Elimdeki  Saz,Haykırmak için kudretim senin olsun,6
Duman,18,Elimdeki  Saz,Kudurmak için şöhretim de olsun,7
Duman,18,Elimdeki  Saz,Saldırmak için servetim senin olsun,8
Duman,18,Elimdeki  Saz,Yalvarmak için allahım senin olsun,9
Duman,18,Elimdeki  Saz,Benim,10
Duman,18,Elimdeki  Saz,İçimdeki aşk elimdeki saz,11
Duman,18,Elimdeki  Saz,Elimdeki saz içimdeki aşk,12
Duman,18,Elimdeki  Saz,İçimdeki aşk elimdeki saz,13
Duman,19,Ellerin Ellerime,Seni gördüm göreli,1
Duman,19,Ellerin Ellerime,"Şaşırdım, dolaşırım bir başıma",2
Duman,19,Ellerin Ellerime,Seni bildim bileli,3
Duman,19,Ellerin Ellerime,Kaçırdım şu aklı başımdan,4
Duman,19,Ellerin Ellerime,Elleri ellerime,5
Duman,19,Ellerin Ellerime,Gözleri gözlerime,6
Duman,19,Ellerin Ellerime,Saçları saçlarıma,7
Duman,19,Ellerin Ellerime,Karışan bir sen olsan,8
Duman,20,En Güzel Günüm Gecem,Kafadan attım salladım,1
Duman,20,En Güzel Günüm Gecem,Türkülerden de çaldım,2
Duman,20,En Güzel Günüm Gecem,Sahnelere çıkıp içtim oynadım,3
Duman,20,En Güzel Günüm Gecem,Ben gönülden inandım,4
Duman,20,En Güzel Günüm Gecem,Şarkını seç gel benimle,5
Duman,20,En Güzel Günüm Gecem,Beraber bağralım,6
Duman,20,En Güzel Günüm Gecem,Dalganı geç sen benimle,7
Duman,20,En Güzel Günüm Gecem,Elini verdin sıkmadım,8
Duman,20,En Güzel Günüm Gecem,End Ezoic - 300x250 - mid_content,9
Duman,20,En Güzel Günüm Gecem,Tekme tokat öne geçtin bıkmadın,10
Duman,20,En Güzel Günüm Gecem,Sen gönülden inandın,11
Duman,20,En Güzel Günüm Gecem,Şarkını seç gel benimle,12
Duman,20,En Güzel Günüm Gecem,Beraber bağralım,13
Duman,20,En Güzel Günüm Gecem,Dalganı geç sen benimle,14
Duman,20,En Güzel Günüm Gecem,En güzel günüm gecem sizinle,15
Duman,20,En Güzel Günüm Gecem,Bu nasıl sevgidir böyle,16
Duman,20,En Güzel Günüm Gecem,En güzel günüm bu gece,17
Duman,21,Eski Köprünün Altında,denizler aştım geliyorum,1
Duman,21,Eski Köprünün Altında,bilirsin derdim seninle,2
Duman,21,Eski Köprünün Altında,yolumdan döndüm kopuyorum,3
Duman,21,Eski Köprünün Altında,bilirsin derdim seninle,4
Duman,21,Eski Köprünün Altında,denizler aştım geliyorum,5
Duman,21,Eski Köprünün Altında,ister eğlen benimle,6
Duman,21,Eski Köprünün Altında,yüzünü bir görsem yeter,7
Duman,21,Eski Köprünün Altında,yolumuz ayrı biliyorum,8
Duman,21,Eski Köprünün Altında,ölmeden son bir defa,9
Duman,21,Eski Köprünün Altında,belini kavrasam yeter,10
Duman,21,Eski Köprünün Altında,hadi gel buluşalım,11
Duman,21,Eski Köprünün Altında,eski köprünün altında,12
Duman,21,Eski Köprünün Altında,kimseler görmesin,13
Duman,21,Eski Köprünün Altında,mehtaba karşı uzanalım eski köprünün altında,14
Duman,21,Eski Köprünün Altında,End Ezoic - 300x250 - mid_content,15
Duman,21,Eski Köprünün Altında,hadi gel buluşalım,16
Duman,21,Eski Köprünün Altında,eski köprünün altında,17
Duman,21,Eski Köprünün Altında,kimseler görmesin,18
Duman,21,Eski Köprünün Altında,mehtaba karşı uzanalım eski köprünün altında,19
Duman,21,Eski Köprünün Altında,"kimseler duymasın, kimseler duymasın!",20
Duman,21,Eski Köprünün Altında,KİMSELER DUYMASIN,21
Duman,21,Eski Köprünün Altında,HADİ GEL BULUŞALIM ESKİ KÖPRÜNÜN ALTINDA,22
Duman,21,Eski Köprünün Altında,KİMSELER GÖRMESİN,23
Duman,21,Eski Köprünün Altında,MEHTABA KARŞI UZANALIM KİMSELER BİLMESİN!,24
Duman,21,Eski Köprünün Altında,KİMSELER DUYMASIN!,25
Duman,22,Eyvallah,Biberine gazına,1
Duman,22,Eyvallah,Copuna sopasına,2
Duman,22,Eyvallah,Tekmelerin hasına,3
Duman,22,Eyvallah,Eyvallah eyvallah,4
Duman,22,Eyvallah,Saldırın bana utanmadan sıkılmadan,5
Duman,22,Eyvallah,Gözlerim yanar ama ezilmedim azalmadım,6
Duman,22,Eyvallah,Özgürüm dedim hâlâ,7
Duman,22,Eyvallah,Haklıyım dedim hâlâ sana,8
Duman,22,Eyvallah,İnsanım dedim hâlâ,9
Duman,22,Eyvallah,Vazgeçer miyim söyle bana,10
Duman,22,Eyvallah,Biberine gazına,11
Duman,22,Eyvallah,Copuna sopasına,12
Duman,22,Eyvallah,Tekmelerin hasına,13
Duman,22,Eyvallah,Eyvallah eyvallah,14
Duman,22,Eyvallah,Şamarı yüzümüze,15
Duman,22,Eyvallah,End Ezoic - 300x250 - mid_content,16
Duman,22,Eyvallah,Şerefe hepinize,17
Duman,22,Eyvallah,Eyvallah eyvallah,18
Duman,22,Eyvallah,Kaldırın eli çekinmeden ve korkmadan,19
Duman,22,Eyvallah,Meydanlar bizim unutmayın bu vatan bizim,20
Duman,22,Eyvallah,Özgürüz dedik hâlâ,21
Duman,22,Eyvallah,Haklıyız dedik hâlâ sana,22
Duman,22,Eyvallah,İnsanız dedik hâlâ,23
Duman,22,Eyvallah,Vazgeçer miyiz söyle bana,24
Duman,22,Eyvallah,Biberine gazına,25
Duman,22,Eyvallah,Copuna sopasına,26
Duman,22,Eyvallah,Tekmelerin hasına,27
Duman,22,Eyvallah,Eyvallah eyvallah,28
Duman,22,Eyvallah,Şamarı yüzümüze,29
Duman,22,Eyvallah,Garezi dilimize,30
Duman,22,Eyvallah,Şerefe hepinize,31
Duman,23,Geçmiş Olsun,Yoruldum sıkıldım,1
Duman,23,Geçmiş Olsun,Peşinden koşa koşa,2
Duman,23,Geçmiş Olsun,Ben anlamam güzelim,3
Duman,23,Geçmiş Olsun,Sen anlat külahıma,4
Duman,23,Geçmiş Olsun,Yasakmış günahmış,5
Duman,23,Geçmiş Olsun,Konuşsun doya doya,6
Duman,23,Geçmiş Olsun,Zorlama güzelim,7
Duman,23,Geçmiş Olsun,Karışmam aranıza,8
Duman,23,Geçmiş Olsun,Aranızdan çıkmadı bir adam,9
Duman,23,Geçmiş Olsun,End Ezoic - 300x250 - mid_content,10
Duman,23,Geçmiş Olsun,Kaçamadım o da benim hatam,11
Duman,23,Geçmiş Olsun,Geçmiş olsun şimdi herşey yalan,12
Duman,23,Geçmiş Olsun,Daraldım usandım,13
Duman,23,Geçmiş Olsun,Elinden kaça kaça,14
Duman,23,Geçmiş Olsun,Ben anlamam güzelim,15
Duman,23,Geçmiş Olsun,Uzak dur yakınıma,16
Duman,23,Geçmiş Olsun,Zararmış ziyanmış,17
Duman,23,Geçmiş Olsun,Konuşsun doya doya,18
Duman,23,Geçmiş Olsun,Elde mi güzelim,19
Duman,24,Gönül,Nedir bu çektiğim senden,1
Duman,24,Gönül,Gönül derdin hiç bitmiyor,2
Duman,24,Gönül,Yediğin darbelere bak,3
Duman,24,Gönül,Bu da mı sana yetmiyor gönül,4
Duman,24,Gönül,Her çiçekten bal alırsın,5
Duman,24,Gönül,Her gördüğünle kalırsın,6
Duman,24,Gönül,Sen kendini ne sanırsın,7
Duman,24,Gönül,Belki bir gün uslanırsın gönül,8
Duman,24,Gönül,Uslan artık deli gönül,9
Duman,24,Gönül,End Ezoic - 300x250 - mid_content,10
Duman,24,Gönül,Uslan artık deli divane gönül,11
Duman,24,Gönül,Dünya sana kalır sanma,12
Duman,24,Gönül,Geleceği dünden sorma,13
Duman,24,Gönül,Her gün gördüğün rüyayı,14
Duman,24,Gönül,Aldanıp ta hayra yorma gönül,15
Duman,24,Gönül,Hepimiz bir misafiriz,16
Duman,24,Gönül,Zaman gelince göçeriz,17
Duman,24,Gönül,Ecel acı can alırken,18
Duman,25,Gönül İster,Ayrı kalamam ayrılamam yolumdan,1
Duman,25,Gönül İster,Hayal mi bilemem vazgeçemem aşkımdan,2
Duman,25,Gönül İster,Gönül ister hissedelim derinden,3
Duman,25,Gönül İster,Hayal mi bilemem ben giderim peşinden,4
Duman,25,Gönül İster,İçimde bir ateş yanar alev alev beni yakar,5
Duman,25,Gönül İster,Başım döner kanım donar içim geçer sazım çalar,6
Duman,25,Gönül İster,Bir an için bir an için,7
Duman,25,Gönül İster,Ayrı kalamam ayrılamam yolumdan,8
Duman,25,Gönül İster,Hayal mi bilemem vazgeçemem aşkımdan,9
Duman,25,Gönül İster,Gönül ister hissedelim derinden,10
Duman,25,Gönül İster,Hayal mi bilemem ben giderim peşinden,11
Duman,25,Gönül İster,Önümde bir hayal uçup gider yavaş yavaş veda eder,12
Duman,25,Gönül İster,Sazım çalar dilim söyler adım kalır diye,13
Duman,27,Gözleri Kanlı,Masum bir can,1
Duman,27,Gözleri Kanlı,Özgür vicdan,2
Duman,27,Gözleri Kanlı,Hain diye destan yaratırlar inanırlar,3
Duman,27,Gözleri Kanlı,Olmaz durulmaz yakışmaz,4
Duman,27,Gözleri Kanlı,Gözyaşı dinmedi bitmedi,5
Duman,27,Gözleri Kanlı,Hâlin kalmadı beynin almadı,6
Duman,27,Gözleri Kanlı,Derdin zindana doldu sığmadı,7
Duman,27,Gözleri Kanlı,Aklın seni baştan yaratır bak hele bir bak,8
Duman,27,Gözleri Kanlı,Olmaz durulmaz yakışmaz,9
Duman,27,Gözleri Kanlı,Gözyaşı dinmedi bitmedi ya,10
Duman,27,Gözleri Kanlı,Yine de zor yolunu bulmak,11
Duman,27,Gözleri Kanlı,Kanadı yok yeniden uçmak,12
Duman,27,Gözleri Kanlı,Kalemi tut boşuna yat sebebi yok,13
Duman,27,Gözleri Kanlı,Her satır kafeste durmalı,14
Duman,27,Gözleri Kanlı,End Ezoic - 300x250 - mid_content,15
Duman,27,Gözleri Kanlı,Varsın her yere sarsın her yanı,16
Duman,27,Gözleri Kanlı,Feryat etmeli dünya duymalı,17
Duman,27,Gözleri Kanlı,Alsın seni baştan başa sarsın kuşatsın,18
Duman,27,Gözleri Kanlı,Olmaz durulmaz yakışmaz,19
Duman,27,Gözleri Kanlı,Gözyaşı dinmedi bitmedi ya,20
Duman,27,Gözleri Kanlı,Yine de zor sesini duymak,21
Duman,27,Gözleri Kanlı,Dermanı yok yüreği çıplak,22
Duman,27,Gözleri Kanlı,Kalemi tut boşuna yat sebebi yok,23
Duman,27,Gözleri Kanlı,Her satır kafeste durmalı,24
Duman,27,Gözleri Kanlı,Dört duvar içinde kalmalı,25
Duman,27,Gözleri Kanlı,Seyrediyor gözleri kanlı,26
Duman,27,Gözleri Kanlı,Çaresi yok zincire bağlı,27
Duman,27,Gözleri Kanlı,Haykırıyor gözleri kanlı,28
Duman,28,Gurbet,Kime desem derdimi ben bulutlar,1
Duman,28,Gurbet,Bizi dost bildiklerimiz vurdular,2
